,nombre_clave_municipio,latitud,longitud,nombre_municipio,id
0,acebeda-la,41.0869583,-3.624399,La Acebeda,28001
1,ajalvir,40.5342302,-3.4807818,Ajalvir,28002
2,alameda-del-valle,40.9177178,-3.8438216,Alameda del Valle,28003
3,alamo-el,40.2307296,-3.9905893,El Álamo,28004
4,alcala-de-henares,40.4818396,-3.3644973,Alcalá de Henares,28005
5,alcobendas,40.5400082,-3.6358494,Alcobendas,28006
6,alcorcon,40.3492998,-3.8284295,Alcorcón,28007
7,aldea-del-fresno,40.3215212,-4.19936,Aldea del Fresno,28008
8,algete,40.5961652,-3.4974246,Algete,28009
9,alpedrete,40.6599005,-4.0251223,Alpedrete,28010
10,ambite,40.3289723,-3.1812115,Ambite,28011
11,anchuelo,40.4653862,-3.2689196,Anchuelo,28012
12,aranjuez,40.03221,-3.6039604,Aranjuez,28013
13,arganda-del-rey,40.3007708,-3.4380688,Arganda del Rey,28014
14,arroyomolinos,39.1855991,-6.1630632,Arroyomolinos,28015
15,atazar-el,40.9343489,-3.4710919,El Atazar,28016
16,batres,40.2091393,-3.9215947,Batres,28017
17,becerril-de-la-sierra,40.7163374,-3.9890681,Becerril de la Sierra,28018
18,belmonte-de-tajo,40.1336305,-3.3398654,Belmonte de Tajo,28019
19,berrueco-el,40.8889705,-3.5614344,El Berrueco,28021
20,berzosa-del-lozoya,40.9757802,-3.5236736,Berzosa del Lozoya,28020
21,boadilla-del-monte,40.4053485,-3.8764663,Boadilla del Monte,28022
22,boalo-el,40.7173359,-3.9202198,El Boalo,28023
23,braojos,41.0400124,-3.6425888,Braojos,28024
24,brea-de-tajo,40.2302134,-3.1092543,Brea de Tajo,28025
25,brunete,40.4050499,-3.9979912,Brunete,28026
26,buitrago-del-lozoya,40.9953477,-3.6350501,Buitrago del Lozoya,28027
27,bustarviejo,40.8587766,-3.7097632,Bustarviejo,28028
28,cabanillas-de-la-sierra,40.8216089,-3.6259742,Cabanillas de la Sierra,28029
29,cadalso-de-los-vidrios,40.3014283,-4.4408876,Cadalso de los Vidrios,28031
30,camarma-de-esteruelas,40.5490368,-3.3786211,Camarma de Esteruelas,28032
31,campo-real,40.3381881,-3.3813911,Campo Real,28033
32,canencia,40.9095894,-3.7375609,Canencia,28034
33,carabana,40.256626,-3.2347206,Carabaña,28035
34,casarrubuelos,40.1707803,-3.8308526,Casarrubuelos,28036
35,cenicientos,40.2631894,-4.4669801,Cenicientos,28037
36,cercedilla,40.7412931,-4.0558002,Cercedilla,28038
37,cervera-de-buitrago,40.9211319,-3.5293404,Cervera de Buitrago,28039
38,chapineria,40.379164,-4.2097254,Chapinería,28051
39,chinchon,40.1408293,-3.4231474,Chinchón,28052
40,ciempozuelos,40.1580087,-3.6205514,Ciempozuelos,28040
41,cobena,40.5676083,-3.5048565,Cobeña,28041
42,collado-mediano,40.6943707,-4.0247212,Collado Mediano,28046
43,collado-villalba,40.6431496,-3.9930128,Collado Villalba,28047
44,colmenar-del-arroyo,40.4179997,-4.1972768,Colmenar del Arroyo,28042
45,colmenar-de-oreja,40.1074198,-3.3871634,Colmenar de Oreja,28043
46,colmenarejo,40.5607257,-4.0165248,Colmenarejo,28044
47,colmenar-viejo,40.6587726,-3.7659722,Colmenar Viejo,28045
48,corpa,40.4235374,-3.2652482,Corpa,28048
49,coslada,40.423802,-3.5552882,Coslada,28049
50,cubas-de-la-sagra,40.1908352,-3.8378366,Cubas de la Sagra,28050
51,daganzo-de-arriba,40.5451953,-3.45785,Daganzo de Arriba,28053
52,escorial-el,40.5890661,-4.147394873409854,Real Monasterio de San Lorenzo de El Escorial,28054
53,estremera,40.1847306,-3.1062403,Estremera,28055
54,fresnedillas-de-la-oliva,40.486444,-4.1723486,Fresnedillas de la Oliva,28056
55,fresno-de-torote,40.5922684,-3.4119681,Fresno de Torote,28057
56,fuenlabrada,40.282476,-3.7923422,Fuenlabrada,28058
57,fuente-el-saz-de-jarama,40.6312151,-3.5125918,Fuente el Saz de Jarama,28059
58,fuentiduena-de-tajo,40.1185446,-3.160254,Fuentidueña de Tajo,28060
59,galapagar,40.5774992,-4.0037748,Galapagar,28061
60,garganta-de-los-montes,40.9216084,-3.6866546,Garganta de los Montes,28062
61,gargantilla-del-lozoya-y-pinilla-de-buitrago,40.96551504999999,-3.7077907634147276,Gargantilla del Lozoya y Pinilla de Buitrago,28063
62,gascones,41.0185654,-3.641499,Gascones,28064
63,getafe,40.3070639,-3.7331808,Getafe,28065
64,grinon,40.2136607,-3.8581479,Griñón,28066
65,guadalix-de-la-sierra,40.7822384,-3.7007794,Guadalix de la Sierra,28067
66,guadarrama,40.6734454,-4.0893911,Guadarrama,28068
67,hiruela-la,41.0779223,-3.4552928,La Hiruela,28069
68,horcajo-de-la-sierra-aoslos,41.078683,-3.583901523172418,Horcajo de la Sierra-Aoslos,28070
69,horcajuelo-de-la-sierra,41.0601151,-3.5457391,Horcajuelo de la Sierra,28071
70,hoyo-de-manzanares,40.6227334,-3.9072054,Hoyo de Manzanares,28072
71,humanes-de-madrid,40.2508847,-3.8270997,Humanes de Madrid,28073
72,loeches,40.3837901,-3.4092281,Loeches,28075
73,lozoya,40.9513281,-3.7917078,Lozoya,28076
74,lozoyuela-navas-sieteiglesias,40.9263383,-3.6176377,Lozoyuela-Navas-Sieteiglesias,28901
75,madarcos,41.0477311,-3.5821549,Madarcos,28078
76,madrid,40.4167047,-3.7035825,Madrid,28079
77,majadahonda,40.473055,-3.8724138,Majadahonda,28080
78,manzanares-el-real,40.7267632,-3.864981,Manzanares el Real,28082
79,meco,40.553746,-3.3281561,Meco,28083
80,mejorada-del-campo,40.3971785,-3.4896068,Mejorada del Campo,28084
81,miraflores-de-la-sierra,40.8137532,-3.7667236,Miraflores de la Sierra,28085
82,molar-el,40.7347865,-3.584376,El Molar,28086
83,montejo-de-la-sierra,41.0593529,-3.530299,Montejo de la Sierra,28088
84,moraleja-de-enmedio,40.2615532,-3.8612117,Moraleja de Enmedio,28089
85,moralzarzal,40.6791436,-3.9720985,Moralzarzal,28090
86,morata-de-tajuna,40.2294297,-3.4366925,Morata de Tajuña,28091
87,mostoles,40.3238525,-3.8649214,Móstoles,28092
88,navacerrada,40.7287926,-4.0151676,Navacerrada,28093
89,navalafuente,40.8232617,-3.6747292,Navalafuente,28094
90,navalagamella,40.4690591,-4.1227079,Navalagamella,28095
91,navalcarnero,40.2877169,-4.014299,Navalcarnero,28096
92,navarredonda-y-san-mames,41.00736645,-3.7315049706950285,Navarredonda y San Mamés,28097
93,navas-del-rey,40.3863666,-4.2508402,Navas del Rey,28099
94,nuevo-baztan,40.3659255,-3.2443102,Nuevo Baztán,28100
95,olmeda-de-las-fuentes,40.3695225,-3.2213199,Olmeda de las Fuentes,28101
96,orusco-de-tajuna,40.2853409,-3.2096521,Orusco de Tajuña,28102
97,paracuellos-de-jarama,40.5048527,-3.5317621,Paracuellos de Jarama,28104
98,parla,40.2373952,-3.7718902,Parla,28106
99,patones,40.8548194,-3.483954,Patones,28107
100,pedrezuela,40.7451088,-3.6030185,Pedrezuela,28108
101,pelayos-de-la-presa,40.3605272,-4.3334254,Pelayos de la Presa,28109
102,perales-de-tajuna,40.2325718,-3.3517265,Perales de Tajuña,28110
103,pezuela-de-las-torres,40.4186483,-3.1778029,Pezuela de las Torres,28111
104,pinilla-del-valle,40.9261949,-3.8184676,Pinilla del Valle,28112
105,pinto,40.240985,-3.7005072,Pinto,28113
106,pinuecar-gandullas,41.03554635,-3.599475586218161,Piñuécar-Gandullas,28114
107,pozuelo-de-alarcon,40.4346528,-3.814834,Pozuelo de Alarcón,28115
108,pozuelo-del-rey,40.3664055,-3.3200082,Pozuelo del Rey,28116
109,pradena-del-rincon,41.0443369,-3.5402284,Prádena del Rincón,28117
110,puebla-de-la-sierra,41.0121247,-3.4444367,Puebla de la Sierra,28118
111,puentes-viejas-manjiron,40.9654041,-3.5828764,Manjirón,28902
112,quijorna,40.4290833,-4.0565378,Quijorna,28119
113,rascafria,40.9038871,-3.8802853,Rascafría,28120
114,reduena,40.8158054,-3.6039309,Redueña,28121
115,ribatejada,40.6664949,-3.3919178,Ribatejada,28122
116,rivas-vaciamadrid,40.3536054,-3.5310879,Rivas-Vaciamadrid,28123
117,robledillo-de-la-jara,40.9529148,-3.5250504,Robledillo de la Jara,28124
118,robledo-de-chavela,40.5009201,-4.2380999,Robledo de Chavela,28125
119,robregordo,41.1064517,-3.5937466,Robregordo,28126
120,rozas-de-madrid-las,40.4933095,-3.8758396,Las Rozas de Madrid,28127
121,rozas-de-puerto-real,40.3098351,-4.4912111,Rozas de Puerto Real,28128
