,fecha,cielo,temp._(°c),sen._térmica_(°c),racha_máx._(km/h),precipitación_(mm),nieve_(mm),humedad_relativa_(%),prob._precip.__(%),prob._de_nieve_(%),prob._de_tormenta_(%),avisos,dirección_viento,velocidad_del_viento,localizacion_id
0,2024-08-29 12:00:00,0,21,21,25.0,0.0,0,69,95,0,75,Riesgo,S,7,28001
1,2024-08-29 13:00:00,0,24,24,29.0,0.0,0,57,Riesgo,0,75,Riesgo,SE,12,28001
2,2024-08-29 14:00:00,1,23,23,33.0,0.0,0,59,100,0,80,Riesgo,S,14,28001
3,2024-08-29 15:00:00,0,23,23,35.0,0.0,0,55,Riesgo,0,80,Riesgo,S,17,28001
4,2024-08-29 16:00:00,0,21,21,34.0,0.0,0,65,Riesgo,0,80,Riesgo,S,20,28001
5,2024-08-29 17:00:00,2,21,21,35.0,0.1,0,59,Riesgo,0,80,Riesgo,S,17,28001
6,2024-08-29 18:00:00,3,20,20,19.0,0.0,0,65,Riesgo,0,80,Riesgo,S,20,28001
7,2024-08-29 19:00:00,3,19,19,27.0,0.0,0,60,Riesgo,0,80,Riesgo,S,9,28001
8,2024-08-29 20:00:00,3,19,19,7.0,0.0,0,46,65,0,45,Riesgo,S,11,28001
9,2024-08-29 21:00:00,0,18,18,9.0,0.0,0,52,Riesgo,0,45,Riesgo,NE,4,28001
10,2024-08-29 22:00:00,0,17,17,10.0,0.0,0,58,Riesgo,0,45,Riesgo,NO,5,28001
11,2024-08-29 23:00:00,4,16,16,9.0,0.0,0,65,Riesgo,0,45,Riesgo,NO,7,28001
12,2024-08-30 00:00:00,5,15,15,6.0,0.0,0,70,Riesgo,0,45,Sin riesgo,NO,4,28001
13,2024-08-30 01:00:00,6,15,15,13.0,0.1,0,75,Riesgo,0,45,Sin riesgo,S,4,28001
14,2024-08-30 02:00:00,0,14,14,13.0,0.0,0,90,15,0,15,Sin riesgo,N,6,28001
15,2024-08-30 03:00:00,4,14,14,13.0,0.0,0,100,15,0,15,Sin riesgo,N,8,28001
16,2024-08-30 04:00:00,5,14,14,9.0,0.0,0,100,15,0,15,Sin riesgo,N,8,28001
17,2024-08-30 05:00:00,7,13,13,6.0,0.0,0,100,15,0,15,Sin riesgo,N,5,28001
18,2024-08-30 06:00:00,7,13,13,6.0,0.0,0,100,Riesgo,0,15,Sin riesgo,N,4,28001
19,2024-08-30 07:00:00,1,13,13,6.0,0.0,0,100,Riesgo,0,15,Sin riesgo,NE,4,28001
20,2024-08-30 08:00:00,5,12,12,8.0,0.0,0,100,80,0,70,Riesgo,N,2,28001
21,2024-08-30 09:00:00,5,15,15,17.0,0.0,0,100,Riesgo,0,70,Riesgo,NO,5,28001
22,2024-08-30 10:00:00,7,17,17,22.0,0.0,0,90,Riesgo,0,70,Riesgo,SE,7,28001
23,2024-08-30 11:00:00,8,19,19,35.0,1.0,0,77,Riesgo,0,70,Riesgo,S,11,28001
24,2024-08-30 12:00:00,9,21,21,30.0,20.0,0,74,Riesgo,0,70,Riesgo,SE,16,28001
25,2024-08-30 13:00:00,9,23,23,14.0,3.0,0,59,Riesgo,0,70,Riesgo,E,10,28001
26,2024-08-30 14:00:00,6,24,24,15.0,0.1,0,47,80,0,70,Riesgo,NO,9,28001
27,2024-08-30 15:00:00,0,25,25,16.0,0.0,0,44,Riesgo,0,70,Riesgo,SO,7,28001
28,2024-08-30 16:00:00,0,25,25,11.0,0.0,0,50,Riesgo,0,70,Sin riesgo,SE,8,28001
29,2024-08-30 17:00:00,5,26,26,13.0,0.0,0,47,Riesgo,0,70,Sin riesgo,S,5,28001
30,2024-08-30 18:00:00,5,25,25,18.0,0.0,0,49,Riesgo,0,70,Sin riesgo,SE,6,28001
31,2024-08-30 19:00:00,0,24,24,12.0,0.0,0,48,Riesgo,0,70,Sin riesgo,S,10,28001
32,2024-08-30 20:00:00,3,24,24,5.0,0.0,0,58,20,0,20,Sin riesgo,S,6,28001
33,2024-08-30 21:00:00,5,21,21,5.0,0.0,0,69,20,0,20,Sin riesgo,NO,3,28001
34,2024-08-30 22:00:00,5,19,19,6.0,0.0,0,77,20,0,20,Sin riesgo,NO,3,28001
35,2024-08-30 23:00:00,5,16,16,6.0,0.0,0,88,20,0,20,Sin riesgo,N,4,28001
36,2024-08-31 00:00:00,1,16,16,5.0,0.0,0,88,20,0,20,Sin riesgo,O,3,28001
37,2024-08-31 01:00:00,3,16,16,7.0,0.0,0,92,20,0,20,Sin riesgo,O,2,28001
38,2024-08-31 02:00:00,4,16,16,3.0,0.0,0,96,0,0,0,Sin riesgo,SO,3,28001
39,2024-08-31 03:00:00,3,15,15,5.0,0.0,0,96,0,0,0,Sin riesgo,C,0,28001
40,2024-08-31 04:00:00,5,14,14,3.0,0.0,0,98,0,0,0,Sin riesgo,E,3,28001
41,2024-08-31 05:00:00,5,14,14,9.0,0.0,0,97,0,0,0,Sin riesgo,NO,1,28001
42,2024-08-31 06:00:00,3,14,14,13.0,0.0,0,93,0,0,0,Sin riesgo,NO,6,28001
43,2024-08-31 07:00:00,0,13,13,10.0,0.0,0,97,0,0,0,Sin riesgo,NO,7,28001
44,2024-08-29 12:00:00,2,24,24,15.0,0.1,0,64,95,0,70,Riesgo,E,8,28001
45,2024-08-29 13:00:00,2,26,26,18.0,0.1,0,57,Riesgo,0,70,Riesgo,E,7,28001
46,2024-08-29 14:00:00,0,27,27,18.0,0.0,0,51,100,0,75,Riesgo,E,8,28001
47,2024-08-29 15:00:00,1,28,28,21.0,0.0,0,44,Riesgo,0,75,Riesgo,S,7,28001
48,2024-08-29 16:00:00,0,27,27,40.0,0.0,0,46,Riesgo,0,75,Riesgo,SO,11,28001
49,2024-08-29 17:00:00,7,25,25,14.0,0.0,0,49,Riesgo,0,75,Riesgo,S,25,28001
50,2024-08-29 18:00:00,2,26,26,65.0,0.1,0,49,Riesgo,0,75,Riesgo,SO,4,28001
51,2024-08-29 19:00:00,10,24,24,18.0,0.3,0,48,Riesgo,0,75,Riesgo,O,41,28001
52,2024-08-29 20:00:00,0,22,22,18.0,0.0,0,54,80,0,65,Riesgo,NE,13,28001
53,2024-08-29 21:00:00,0,21,21,23.0,0.0,0,68,Riesgo,0,65,Riesgo,NE,11,28001
54,2024-08-29 22:00:00,8,20,20,17.0,1.0,0,85,Riesgo,0,65,Riesgo,E,9,28001
55,2024-08-29 23:00:00,11,20,20,24.0,7.0,0,92,Riesgo,0,65,Riesgo,E,5,28001
56,2024-08-30 00:00:00,6,19,19,15.0,0.8,0,86,Riesgo,0,65,Sin riesgo,N,17,28001
57,2024-08-30 01:00:00,4,19,19,18.0,0.0,0,93,Riesgo,0,65,Sin riesgo,E,9,28001
58,2024-08-30 02:00:00,12,19,19,31.0,0.0,0,96,20,0,20,Sin riesgo,N,12,28001
59,2024-08-30 03:00:00,12,18,18,26.0,0.0,0,96,20,0,20,Sin riesgo,NE,21,28001
60,2024-08-30 04:00:00,12,18,18,21.0,0.0,0,98,20,0,20,Sin riesgo,N,16,28001
61,2024-08-30 05:00:00,12,18,18,23.0,0.0,0,100,20,0,20,Sin riesgo,NE,14,28001
62,2024-08-30 06:00:00,12,18,18,30.0,0.0,0,100,Riesgo,0,20,Sin riesgo,NE,16,28001
63,2024-08-30 07:00:00,12,17,17,15.0,0.0,0,100,Riesgo,0,20,Sin riesgo,NE,18,28001
64,2024-08-30 08:00:00,1,17,17,26.0,0.0,0,100,25,0,25,Riesgo,N,11,28001
65,2024-08-30 09:00:00,1,19,19,22.0,0.0,0,96,Riesgo,0,25,Riesgo,NE,17,28001
66,2024-08-30 10:00:00,7,22,22,26.0,0.0,0,86,Riesgo,0,25,Riesgo,E,13,28001
67,2024-08-30 11:00:00,7,24,24,27.0,0.0,0,78,Riesgo,0,25,Riesgo,SE,18,28001
68,2024-08-30 12:00:00,1,25,25,28.0,0.0,0,55,Riesgo,0,25,Riesgo,NE,6,28001
69,2024-08-30 13:00:00,0,26,26,36.0,0.0,0,53,Riesgo,0,25,Riesgo,N,14,28001
70,2024-08-30 14:00:00,8,28,29,24.0,0.1,0,51,50,0,50,Riesgo,N,19,28001
71,2024-08-30 15:00:00,8,28,29,19.0,0.1,0,52,Riesgo,0,50,Riesgo,NE,14,28001
72,2024-08-30 16:00:00,6,29,29,18.0,0.1,0,48,Riesgo,0,50,Sin riesgo,NE,10,28001
73,2024-08-30 17:00:00,8,30,31,15.0,0.1,0,52,Riesgo,0,50,Sin riesgo,NE,10,28001
74,2024-08-30 18:00:00,6,27,28,16.0,0.1,0,62,Riesgo,0,50,Sin riesgo,NE,9,28001
75,2024-08-30 19:00:00,6,23,23,16.0,0.1,0,73,Riesgo,0,50,Sin riesgo,NE,11,28001
76,2024-08-30 20:00:00,0,24,24,11.0,0.0,0,84,25,0,25,Sin riesgo,NE,10,28001
77,2024-08-30 21:00:00,0,23,23,14.0,0.0,0,88,25,0,25,Sin riesgo,NE,8,28001
78,2024-08-30 22:00:00,5,22,22,15.0,0.0,0,90,25,0,25,Sin riesgo,N,9,28001
79,2024-08-30 23:00:00,7,21,21,13.0,0.0,0,91,25,0,25,Sin riesgo,NE,10,28001
80,2024-08-31 00:00:00,1,20,20,9.0,0.0,0,88,25,0,25,Sin riesgo,NE,9,28001
81,2024-08-31 01:00:00,1,20,20,10.0,0.0,0,90,25,0,25,Sin riesgo,NE,7,28001
82,2024-08-31 02:00:00,7,20,20,9.0,0.0,0,91,5,0,5,Sin riesgo,NE,6,28001
83,2024-08-31 03:00:00,5,19,19,13.0,0.0,0,93,5,0,5,Sin riesgo,E,6,28001
84,2024-08-31 04:00:00,4,18,18,18.0,0.0,0,92,5,0,5,Sin riesgo,NE,9,28001
85,2024-08-31 05:00:00,4,18,18,18.0,0.0,0,96,5,0,5,Sin riesgo,N,13,28001
86,2024-08-31 06:00:00,4,17,17,9.0,0.0,0,94,5,0,5,Sin riesgo,N,11,28001
87,2024-08-31 07:00:00,0,17,17,10.0,0.0,0,95,5,0,5,Sin riesgo,NE,7,28001
88,2024-08-29 12:00:00,1,23,23,23.0,0.0,0,64,90,0,75,Riesgo,E,6,28001
89,2024-08-29 13:00:00,0,26,26,28.0,0.0,0,50,Riesgo,0,75,Riesgo,E,8,28001
90,2024-08-29 14:00:00,0,25,25,35.0,0.0,0,50,100,0,75,Riesgo,S,12,28001
91,2024-08-29 15:00:00,0,24,24,35.0,0.0,0,54,Riesgo,0,75,Riesgo,S,15,28001
92,2024-08-29 16:00:00,5,25,25,32.0,0.0,0,48,Riesgo,0,75,Riesgo,S,17,28001
93,2024-08-29 17:00:00,10,25,25,32.0,0.1,0,50,Riesgo,0,75,Riesgo,S,13,28001
94,2024-08-29 18:00:00,7,22,22,37.0,0.0,0,54,Riesgo,0,75,Riesgo,S,15,28001
95,2024-08-29 19:00:00,0,19,19,14.0,0.0,0,70,Riesgo,0,75,Riesgo,S,18,28001
96,2024-08-29 20:00:00,5,20,20,12.0,0.0,0,43,60,0,50,Riesgo,O,6,28001
97,2024-08-29 21:00:00,6,18,18,10.0,0.1,0,56,Riesgo,0,50,Riesgo,NO,6,28001
98,2024-08-29 22:00:00,5,16,16,11.0,0.0,0,63,Riesgo,0,50,Riesgo,N,4,28001
99,2024-08-29 23:00:00,4,15,15,7.0,0.0,0,69,Riesgo,0,50,Riesgo,NO,6,28001
100,2024-08-30 00:00:00,4,13,13,14.0,0.0,0,75,Riesgo,0,50,Sin riesgo,NO,3,28001
101,2024-08-30 01:00:00,4,12,12,12.0,0.0,0,78,Riesgo,0,50,Sin riesgo,E,7,28001
